,created_at,tweet_id,Location,tweet_text,screen_name,name,account_creation_date,urls,Likes,Retweet
0,2021-05-20 09:24:57,1395309559879663620,,"RT @a_distrctn: Pro Tip:

If your friend is ignoring you, 
just send him ""tu aisa karega socha nahi tha"" and dhoom tana din tana..",CFCAniket22,Aniket,Thu Mar 26 17:32:04 +0000 2020,[],0,7
1,2021-05-20 09:16:14,1395307365101019139,India,"RT @a_distrctn: Pro Tip:

If your friend is ignoring you, 
just send him ""tu aisa karega socha nahi tha"" and dhoom tana din tana..",huhhgoaway,Navya Nandan /Abhinav Bajpai Stan,Tue Dec 08 13:20:54 +0000 2020,[],0,7
2,2021-05-20 09:01:45,1395303720200462336,,i think A log jab #BrokenButBeauiful3 release hokar #AgMi  chemistry dhoom machayegi 🔥🔥🔥 that time A log to pagal h… https://t.co/sLyZo9YeFc,DhamiNimi,Nimi SidHearts🇳🇵,Thu Jul 30 10:33:22 +0000 2020,"[{'url': 'https://t.co/sLyZo9YeFc', 'expanded_url': 'https://twitter.com/i/web/status/1395303720200462336', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",1,0
3,2021-05-20 08:44:46,1395299447404335105,India,"@NIT_S_misHRA Basdak 15 sal bola hai tu nay 
So Dhoom 2 (non-holiday) 2.16cr footfalls 
😂😂",____HRX______,😎,Sat Nov 21 16:48:05 +0000 2020,[],0,0
4,2021-05-20 08:28:33,1395295367881580546,"Mumbai,India",Will @ipritamofficial really retire? Why did he create competition for himself with #Jam8 &amp; a  slew of new voices i… https://t.co/TiQosTHzgU,editorbharathi,Bharathi S Pradhan,Thu Jan 06 11:48:08 +0000 2011,"[{'url': 'https://t.co/TiQosTHzgU', 'expanded_url': 'https://twitter.com/i/web/status/1395295367881580546', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]",1,0
5,2021-05-20 08:22:44,1395293902245036035,,@mcfcleo_ @sergio_regui @premierleague CALLED IT LMAOOOO,dhoom_salty,Dhruv Saldhi,Sat Jul 11 11:45:45 +0000 2020,[],0,0
6,2021-05-20 08:18:03,1395292723788189699,,@KhudKiDewani dhoom 2?,345_knight,|.⛓️.|,Fri Oct 30 09:04:15 +0000 2020,[],0,0
7,2021-05-20 08:16:15,1395292271617052676,India,dhoom 2 https://t.co/deMKljdUtL,WeirdSinceBorn,jAZz,Sun Dec 30 13:06:36 +0000 2018,"[{'url': 'https://t.co/deMKljdUtL', 'expanded_url': 'https://twitter.com/baexstan/status/1395265375944642562', 'display_url': 'twitter.com/baexstan/statu…', 'indices': [8, 31]}]",0,0
8,2021-05-20 07:40:19,1395283228945117190,Ghar pe!         ♡ She/her  ,Dhoom 2? https://t.co/wH9yGmuWYe,Kusum15Rathore,Hawayein🦋🕊,Sat Sep 19 07:03:51 +0000 2020,"[{'url': 'https://t.co/wH9yGmuWYe', 'expanded_url': 'https://twitter.com/baexstan/status/1395265375944642562', 'display_url': 'twitter.com/baexstan/statu…', 'indices': [9, 32]}]",0,0
9,2021-05-20 07:03:52,1395274056782336003,she/her,the editing in dhoom tana mv was ahead of its time 😭😭,amdheerkulfi,sam.,Fri Feb 12 19:24:45 +0000 2021,[],0,0
10,2021-05-20 06:43:15,1395268868512182275,,"RT @adeedoes: Crazy Kiya Re - Dhoom 2 (2006) 

#AishwaryaRai | #Dhoom2 https://t.co/EtBmijDFy7",badass_aishfan,Aishwarya as Nandini(PonniyinSelvan)'ll b Historic,Thu Sep 10 17:35:29 +0000 2015,[],0,4
11,2021-05-20 06:43:03,1395268816217665538,"Kashmir, INDIA","What else is expected from the beghairat mulk of Pakistan and it's paid agents like Asif Dar, Mubeen Shah and the C… https://t.co/zYAISlAxrN",Sher_i_Kashmir,Hashtag-Firullah,Tue Jun 02 12:52:50 +0000 2020,"[{'url': 'https://t.co/zYAISlAxrN', 'expanded_url': 'https://twitter.com/i/web/status/1395268816217665538', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",1,0
12,2021-05-20 06:30:11,1395265580412727297,aapke dil me...💓,"RT @a_distrctn: Pro Tip:

If your friend is ignoring you, 
just send him ""tu aisa karega socha nahi tha"" and dhoom tana din tana..",whyvikas,pura_sanskari,Tue Oct 27 16:17:51 +0000 2020,[],0,7
13,2021-05-20 06:21:26,1395263378872954880,"Bengaluru, India",tf netflix so loud when you first open it “duh dhoom” face ass.,dhritichauhann,dc🔫,Thu Mar 25 07:18:14 +0000 2021,[],0,0
14,2021-05-20 06:20:35,1395263161603813378,Platform 9 ¾,RT @awkpihu: if your man doesn't stand on chair showing you dhoom machale dance step girl u deserve better,zennat_3,Rey🌸,Mon Sep 14 13:41:11 +0000 2020,[],0,1
15,2021-05-20 06:08:13,1395260050243915777,Gujarat,"I already said this is Dhoom Dhoom boom stock. 
https://t.co/cCN3bfOrRz
Today it's running  @Mitesh_Engr 
8%up toda… https://t.co/BGjmb2xGhZ",Chirag36400228,Chirag,Mon Jun 01 16:58:14 +0000 2020,"[{'url': 'https://t.co/cCN3bfOrRz', 'expanded_url': 'https://youtu.be/yPCtD-YTfF0', 'display_url': 'youtu.be/yPCtD-YTfF0', 'indices': [48, 71]}, {'url': 'https://t.co/BGjmb2xGhZ', 'expanded_url': 'https://twitter.com/i/web/status/1395260050243915777', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",1,0
16,2021-05-20 05:41:56,1395253435352580099,उनकी यादो में,"RT @a_distrctn: Pro Tip:

If your friend is ignoring you, 
just send him ""tu aisa karega socha nahi tha"" and dhoom tana din tana..",MeriKhanii,💔-बेवजहा के ख्याल-💔,Sun Feb 26 03:30:32 +0000 2017,[],0,7
17,2021-05-20 05:28:07,1395249959016878081,"Ahmadabad City, India","RT @a_distrctn: Pro Tip:

If your friend is ignoring you, 
just send him ""tu aisa karega socha nahi tha"" and dhoom tana din tana..",MRHBV310199,H I T E S H ___BAWA,Thu Mar 19 15:22:12 +0000 2020,[],0,7
18,2021-05-20 05:27:48,1395249881908842500,भारत 🇮🇳,"RT @a_distrctn: Pro Tip:

If your friend is ignoring you, 
just send him ""tu aisa karega socha nahi tha"" and dhoom tana din tana..",a_distrctn,Abhay🇮🇳,Fri Jul 05 18:38:34 +0000 2019,[],0,7
19,2021-05-20 05:19:10,1395247708483457024,India,I think we should all adopt this spectrum for talking about tv shows. When someone says gay you should ask Hannibal gay or dhoom gay,heartfulImetal,N,Wed Nov 07 09:34:00 +0000 2018,[],6,0
