,created_at,tweet_id,Location,tweet_text,screen_name,name,account_creation_date,urls,Likes,Retweet,label,final_tweet
0,2021-03-09 11:59:03,1369256414150004738,🇻🇪🇨🇴,"['rt', '@', 'haileysoutfits', ':', 'hailey', 'bieber', 'for', 'adidas', 'x', 'ivy', 'park', '.', 'https', ':', '//t.co/2nrzd1cpbl']",soymayhurtado,Mayra,Tue Jul 28 21:12:15 +0000 2009,[],0,117,0,"['rt', 'haileysoutfits', 'hailey', 'bieber', 'adidas', 'x', 'ivy', 'park', 'http']"
1,2021-03-09 11:59:02,1369256411276972033,United States,"['adidas', 'kids', '’', 'questar', 'flow', 'cloudfoam', 'running', 'shoes', 'https', ':', '//t.co/spdzzjlktm']",no1_doctor,No1 Doctor,Tue Aug 25 22:41:34 +0000 2015,"[{'url': 'https://t.co/spDzZjlktm', 'expanded_url': 'http://shoppingdealer.com/?p=115054', 'display_url': 'shoppingdealer.com/?p=115054', 'indices': [50, 73]}]",0,0,0,"['adidas', 'kid', 'questar', 'flow', 'cloudfoam', 'run', 'shoe', 'http']"
2,2021-03-09 11:59:00,1369256403437842437,United States,"['adidas', 'kids', '’', 'questar', 'flow', 'cloudfoam', 'running', 'shoes', 'https', ':', '//t.co/dzbsdc62td']",Shoppingdealer1,Shoppingdealer,Fri Jul 01 04:53:58 +0000 2016,"[{'url': 'https://t.co/dzBsdC62Td', 'expanded_url': 'http://shoppingdealer.com/?p=115054', 'display_url': 'shoppingdealer.com/?p=115054', 'indices': [50, 73]}]",0,0,0,"['adidas', 'kid', 'questar', 'flow', 'cloudfoam', 'run', 'shoe', 'http']"
3,2021-03-09 11:58:58,1369256394411696131,Chile,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",BLACKPINKChile,BLACKPINK Chile -R- 🌹,Tue Jun 14 01:10:48 +0000 2016,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,875,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
4,2021-03-09 11:58:56,1369256386731925508,Republic of kenya Nairobi Meru,"['rt', '@', 'maureen_wm', ':', 'normalize', 'buying', 'your', 'shoes', '@', 'poise254', 'adidas', 'dragon', 'sizes', '40-45', 'ksh', '3800', '📩', '📞', '0717787755', '/0733787755', 'delivery', 'done', 'countryw…']",Tonny_M_Mugiira,Tonny M.Mugiira✪,Tue Jan 16 10:03:22 +0000 2018,[],0,25,0,"['rt', 'normalize', 'buying', 'shoe', 'adidas', 'dragon', 'size', 'ksh', 'delivery', 'do']"
5,2021-03-09 11:58:46,1369256344767721472,Hustle,"['rt', '@', 'dremodrizzy', ':', 'wan', 'na', 'walk', 'into', 'the', 'bank', 'and', 'cash', 'my', 'cheques', 'in', 'adidas', 'https', ':', '//t.co/mlibp6pho8']",Oluwashaggi2,Oluwashaggi😈,Tue Jul 23 06:03:41 +0000 2019,[],0,34,0,"['rt', 'dremodrizzy', 'wan', 'na', 'walk', 'bank', 'cash', 'cheque', 'adidas', 'http']"
8,2021-03-09 11:58:40,1369256320042467328,blink fanboy,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",chichi__chu,-𝑅-𝑂𝑆𝐸́ 𝑆𝑂𝐿𝑂 ⁰³¹²,Mon Oct 14 11:35:18 +0000 2019,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,875,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
10,2021-03-09 11:58:34,1369256292213219332,USA by Hook or Crook ,"['rt', '@', 'winchester_boye', ':', 'adidas', 'massager', 'slides', 'available', '220', 'cedis', 'sizes', '38-46', 'kindly', 'retweet', 'my', 'hustle🥺', 'https', ':', '//t.co/cceq6rnk3p']",Thugthugger3,Hasta la fuego,Fri Nov 03 09:11:56 +0000 2017,[],0,8,1,"['rt', 'adidas', 'massager', 'slide', 'available', 'cedi', 'size', 'kindly', 'retweet', 'http']"
11,2021-03-09 11:58:34,1369256291181461505,ph,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",snithhhh,Samnettee,Thu Oct 03 06:11:36 +0000 2013,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,875,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
12,2021-03-09 11:58:29,1369256274232180736,Singapore,"['rt', '@', 'wrongweather', ':', 'yeezy', 'boost', '700', 'v2', 'cream', '-', 'online', 'raffle', '-', 'sign', 'up', 'for', 'a', 'chance', 'to', 'buy', 'at', 'https', ':', '//t.co/jruhbhrhsz', '#', 'yeezy', '#', 'yeezy700', '#', 'snea…']",SymlYsf,Alexios,Tue Jan 12 13:59:10 +0000 2010,"[{'url': 'https://t.co/JRUhbHrhsZ', 'expanded_url': 'http://bit.ly/2OBTaE1', 'display_url': 'bit.ly/2OBTaE1', 'indices': [92, 115]}]",0,1,0,"['rt', 'wrongweather', 'yeezy', 'boost', 'cream', 'online', 'raffle', 'sign', 'chance', 'buy', 'http', 'yeezy']"
13,2021-03-09 11:58:25,1369256254611292160,A proud Madridista,"['@', 'bet9jaofficial', 'on', 'mo', 'salah', 'shirt', ',', 'there', '’', 's', 'a', 'black', 'logo', 'in', 'the', 'first', 'frame', 'and', 'is', 'not', 'in', 'the', 'second', 'frame', '.', 'there', '’', 's…', 'https', ':', '//t.co/doolokyg1n']",ChiefOfInplay,INPLAY CHIEF,Sun Mar 17 19:49:03 +0000 2013,"[{'url': 'https://t.co/DOoLoKYg1N', 'expanded_url': 'https://twitter.com/i/web/status/1369256254611292160', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",0,0,1,"['mo', 'salah', 'shirt', 'black', 'logo', 'first', 'frame', 'second', 'frame', 'http']"
15,2021-03-09 11:58:20,1369256233669193731,Surabaya,"['ready', 'stock', 'official', 'masker', 'adidas', 'red', 'face', 'mask', 'original', 'bnwt', 'our', 'price', 'rp', '99.000', '#', 'masker4sale', '#', 'masker', 'order…', 'https', ':', '//t.co/yjnirpbewm']",SaleFootball,Clearance Sale,Wed Feb 06 05:28:51 +0000 2013,"[{'url': 'https://t.co/YjNIrpbEWM', 'expanded_url': 'https://twitter.com/i/web/status/1369256233669193731', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",0,0,1,"['ready', 'stock', 'official', 'masker', 'adidas', 'red', 'face', 'mask', 'original', 'bnwt', 'price', 'rp', 'masker', 'http']"
17,2021-03-09 11:58:11,1369256196146925568,"BLESSED SOIL, USA.","['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",TrueKingOfGod,TRUE MAN OF GOD,Sun Nov 01 15:27:24 +0000 2015,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,875,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
18,2021-03-09 11:58:09,1369256186269364230,🇲🇾,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",teumeskies,aris~,Sat Aug 01 08:45:34 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,875,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
23,2021-03-09 11:57:46,1369256092199493633,Turtle Rabbit Land,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",jisooinpink,ACTRESS JISOO,Thu Jun 11 17:06:09 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,875,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
24,2021-03-09 11:57:43,1369256081264902146,OT4,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",padayonlalisa,𝖌-𝗥-𝖆𝖈𝖊,Thu Jul 19 14:36:08 +0000 2018,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,875,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
25,2021-03-09 11:57:43,1369256080413495297,Earth,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",xjennylynx,jenny,Mon Sep 09 12:28:14 +0000 2013,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,875,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
26,2021-03-09 11:57:42,1369256075631857665,BTS/ JENNIE IS THE MAIN RAPPER,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",Lonnie39333496,winter JEN_km🐰🐥,Fri Jun 19 03:00:53 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,875,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
29,2021-03-09 11:57:35,1369256046666129414,Pretoria/JHB,"['@', 'mynameisbandz', 'adidas', 'was', 'going', 'off']",OraisGolden,Oratile Tshungu,Wed Nov 21 13:23:30 +0000 2012,[],0,0,0,"['mynameisbandz', 'adidas', 'go']"
32,2021-03-09 11:57:30,1369256023266066438,world,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",BPfourEVEER,J,Fri Sep 09 13:02:30 +0000 2011,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,875,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
33,2021-03-09 11:57:27,1369256014067949573,terminal,"['rt', '@', 'dremodrizzy', ':', 'wan', 'na', 'walk', 'into', 'the', 'bank', 'and', 'cash', 'my', 'cheques', 'in', 'adidas', 'https', ':', '//t.co/mlibp6pho8']",manlikedonald,BIG FISH,Fri Oct 22 20:41:36 +0000 2010,[],0,34,0,"['rt', 'dremodrizzy', 'wan', 'na', 'walk', 'bank', 'cash', 'cheque', 'adidas', 'http']"
37,2021-03-09 11:57:10,1369255939816194049,Brasil,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",noticiasBp,THE BLACKPINK NOTÍCIAS 🍦,Sat Mar 28 18:35:17 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,875,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
